Barkodi,Emri i Produktit
ABS-24,Valixhe Udh‰timi
8028257000415,UNGHERESE SALLAM 250GR
8411712761622,Prometeo white tas 14cm
8411712218553,Toledo piatto ovale 30 cm
8411712763107,Pjate parma 24 x 34 cm
5300000000167,Stela birre kanace 500 ml
8714800011426,Birre bavaria pa alkool 500 ml
8718951248229,Colgate max extra sensitive 75 ml
8718951099807,Colgate max white &amp; protect 75 ml
8718951250017,Colgate max white charcoal 75 ml
8714789531915,Colgate max white one 75 ml
carcafv,Set carcafesh tek per vajza
carcafdd,"Set carcafesh dopio (kellef jasteku, kellef dysheku, carcaf)"
748079829619,Forme keku mesatare
5201028355508,Cornetto king cone 145gr
8690637852053,Nogger sandwich 87 gr
8690637812736,Magnum double caramel 82 gr
8690637818370,Cornetto disc 93 gr
PISHINE,Pishina 120 x 90 x 40 cm
8693357065444,Enoteca gota 2 cope
8693357161269,Gota 6 cope
8693357204874,Gota vere 6 cope Allegra
SHPLAZHI,Shapka me gisht plazhi per vajza
SHAH,Shah i madh 3 in 1
TOPLL,Top llastiku
8003059156003,Frizet element akulli 350 gr
8003059151008,Frizet element akulli 500 gr
8003059157000,Frizet akulli 2 cope nga 200 gr
6970292218800,Pishine 120 x 90 x 40 cm
6956325632560,Krahe plazhi
4806511570447,Komardare per beba
8693357150133,Pjat‰ sh‰rbimi 33 cm
8693357065994,Pjate sherbimi 25 cm
8693357153950,Pjate sherbimi 29 cm
8693357405967,Gota 6 cope
8693357052697,6 tasa 12.5 cm
8693357419032,Tas 25 cm
PUJI,Pistolete me uje
SYZEUJI,Syze uji
8003080004120,Leter bixhozi Modiano
6956846856056,Komardare unicorn 165 x 75 x 100 cm
6941057407418,Komardare peshk per beba
FLAMINGO,Flamingo komardare 90 cm
MUNIKORN,Komardare e madhe unicorn 85 cm
5618912227665,Komardare peshk
6941057457031,Dyshek plazhi
6924114215201,Komardare per femije
6924114215539,Komardare me timon
3506770140238,Vaj plazhi nxires ultra rreze 125 ml
5201314124320,Vaj p‰r kujdesin nga dielli me spf30 150 ml
5201314124290,Vaj p‰r kujdesin nga dielli me spf20 150 ml
5201314109877,Shkum‰ pas diellit 200 ml
5201314109174,Spraj man I paduksh‰m p‰r kujdesin nga dielli me spf30 200 ml
